노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,0,청강리공영차고지종점,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,1,청강리공영차고지입구,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,2,연화교차로,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,3,오신,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,4,내리초등학교,0,0,0,1,2,0,0,2,2,4,1,0,1,2,1,1,1,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,5,내리,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,6,당사입구,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,7,브라보주유소,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,8,송정2휴먼시아,0,0,0,0,2,2,1,2,1,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,9,동해선송정역,0,0,0,1,5,3,1,1,1,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,10,송정해수욕장입구,0,0,0,1,3,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,11,송정1단지주공,0,0,1,2,4,4,2,5,1,10,2,1,3,3,0,2,2,1,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,12,신도시시장.아세안문화원,0,0,0,2,3,3,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,13,동신아파트,0,0,0,3,3,2,2,1,2,3,3,0,2,0,0,0,0,0,1,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,14,동부아파트,0,1,0,2,4,0,1,0,4,11,3,0,3,4,0,1,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,15,대동상가,0,1,0,4,5,3,2,0,7,9,0,3,3,7,1,2,2,1,1,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,16,대림1차아파트,0,2,6,5,6,4,0,2,8,13,3,4,4,9,1,0,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,17,대림3차아파트,0,1,3,9,8,5,3,3,9,14,5,1,7,10,3,1,2,2,2,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,18,신성아파트,0,0,7,10,12,9,0,4,10,11,6,0,1,5,3,3,2,2,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,19,한일아파트,0,0,8,11,14,12,4,6,11,15,5,3,6,6,0,3,3,3,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,20,코오롱아파트,0,2,1,10,14,9,0,0,0,6,8,0,7,0,1,2,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,21,중동역.순복음교회,0,0,7,7,12,10,3,4,9,11,4,0,8,6,0,4,3,3,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,22,건널목삼거리,0,3,0,6,14,6,3,0,10,0,9,0,0,7,2,1,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,23,해운대구청어귀삼거리,0,1,6,5,13,8,3,3,11,14,7,9,9,5,1,1,0,3,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,24,해운대도시철도역,0,0,3,4,9,6,3,7,6,9,6,7,7,7,0,6,5,3,2,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,25,운촌,0,0,2,5,10,4,0,2,7,7,2,9,9,8,3,0,0,2,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,26,동백역,0,1,0,4,7,5,0,0,7,8,3,10,7,6,4,7,4,3,1,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,27,부산문화여고,0,2,2,6,7,0,3,0,8,8,1,4,8,5,2,6,0,4,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,28,올림픽교차로,0,0,1,6,8,5,4,8,12,10,5,11,6,5,0,7,1,4,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,29,벡스코.시립미술관,0,0,1,4,7,0,0,9,11,3,2,10,5,6,3,6,0,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,30,동해선벡스코역,0,0,1,1,6,0,3,0,7,6,7,7,5,6,3,6,2,4,2,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,31,센텀센시빌,0,0,0,0,5,0,4,0,5,5,6,9,6,6,5,7,3,0,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,32,센텀고등학교,0,0,0,0,3,2,5,0,0,4,3,8,5,7,6,7,1,1,1,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,33,동해선센텀역,0,3,0,4,2,3,8,12,6,4,5,9,8,7,5,8,0,5,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,34,동부지청어귀교차로,0,4,1,6,9,3,1,0,4,4,0,10,0,6,6,0,4,4,2,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,35,과정교,0,0,2,7,0,2,0,0,0,5,3,7,7,8,6,6,0,0,0,3,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,36,수영강푸르지오아파트,0,6,6,17,11,7,11,10,6,6,6,11,8,11,9,7,2,6,3,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,37,연제예식장,0,0,2,17,10,13,9,12,5,6,6,13,7,9,6,4,4,3,4,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,38,부산소방본부.부산교통정보서비스센터,0,0,1,12,11,8,0,13,7,5,5,14,8,6,8,5,1,7,0,2,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,39,엘지아파트,0,9,9,14,19,18,13,5,7,7,7,14,12,10,12,4,5,6,1,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,40,부산경상대학교정문,0,0,2,15,20,19,9,13,8,7,6,17,6,11,14,0,2,3,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,41,부산경상대학교서문,0,10,10,15,11,14,5,11,12,19,5,16,13,16,15,6,3,5,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,42,현대아파트,0,12,8,17,25,20,15,10,13,20,10,17,14,18,20,9,6,0,5,1,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,43,연산중학교,0,0,0,11,25,19,14,11,12,7,11,15,6,17,11,8,0,0,6,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,44,연일시장,0,0,6,16,16,12,13,6,9,19,9,18,14,12,13,9,5,4,4,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,45,연산교차로,0,2,1,4,3,4,6,5,5,4,5,6,7,3,9,8,2,3,2,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,46,연산역.연산교차로,0,0,1,1,3,2,5,4,1,4,2,7,8,4,4,7,1,3,1,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,47,동해선교대역,0,0,0,0,0,2,0,3,0,1,5,4,0,5,3,6,4,1,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,48,교대역,0,0,0,0,1,1,4,3,0,3,6,5,9,4,4,5,1,2,2,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,49,부전교회,0,0,0,0,0,3,3,4,2,0,5,0,0,3,3,4,0,1,0,0,0,0,0,0,
100-1,청강리공영차고지종점 - 청강리공영차고지종점,50,동래역,0,0,3,3,2,1,0,1,1,1,7,3,7,5,6,2,2,1,0,0,0,0,0,0,
