노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
46,구포3동 - 구포3동,0,구포3동,0,0,1,1,1,1,0,1,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,1,금수선사,0,1,2,2,4,2,2,2,3,5,0,4,3,1,2,0,1,0,1,0,0,0,0,0,
46,구포3동 - 구포3동,2,태평양아파트,3,2,4,5,8,5,5,4,1,7,2,3,5,4,2,0,1,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,3,포천초교태경해피타운,4,4,9,11,13,3,6,5,0,8,4,5,11,7,3,0,0,0,2,0,0,0,0,0,
46,구포3동 - 구포3동,4,구포3동주민센터,0,6,4,13,9,6,4,7,9,7,2,4,20,14,4,1,5,1,0,0,0,0,0,0,
46,구포3동 - 구포3동,5,부산과학기술대학교,5,4,5,14,10,7,19,13,11,21,8,5,29,22,6,4,4,5,3,0,0,0,0,0,
46,구포3동 - 구포3동,6,포천삼거리,0,8,3,21,20,11,20,11,14,23,10,8,10,8,8,3,7,2,1,0,0,0,0,0,
46,구포3동 - 구포3동,7,부산솔로몬로파크,0,0,0,13,15,10,15,9,13,2,0,9,0,10,6,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,8,학생예술문화회관.유림아파트,0,9,6,26,26,12,16,14,15,25,8,8,28,11,10,0,2,6,0,0,0,0,0,0,
46,구포3동 - 구포3동,9,구포교회,0,7,5,14,25,12,15,10,14,24,0,10,0,21,11,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,10,구명역,0,5,3,16,17,8,17,11,14,20,8,10,24,15,10,5,0,5,2,0,0,0,0,0,
46,구포3동 - 구포3동,11,구포초등학교,0,0,0,17,6,0,0,0,15,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,12,구포시장남문,0,0,0,0,0,7,13,0,4,21,7,5,7,8,0,0,1,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,13,구포시장동문,0,1,4,16,15,6,18,0,10,23,9,10,20,7,16,0,0,6,3,0,0,0,0,0,
46,구포3동 - 구포3동,14,덕천교차로,0,4,4,14,10,4,9,10,9,14,5,10,15,6,13,2,5,4,2,0,0,0,0,0,
46,구포3동 - 구포3동,15,덕천역,0,3,4,3,7,3,6,5,3,10,7,7,11,6,8,1,3,5,0,1,0,0,0,0,
46,구포3동 - 구포3동,16,숙등역,0,0,3,1,5,2,3,2,2,6,6,6,10,5,7,0,0,0,1,0,0,0,0,0,
46,구포3동 - 구포3동,17,구포전화국,0,2,1,4,4,1,4,5,0,9,0,0,10,3,8,4,1,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,18,남산정역,0,0,0,3,7,1,3,4,1,4,5,4,5,4,5,2,0,4,0,0,0,0,0,0,
46,구포3동 - 구포3동,19,만덕성당,0,0,0,3,0,0,0,4,0,8,3,3,7,0,1,0,0,2,0,0,0,0,0,0,
46,구포3동 - 구포3동,20,만덕교차로,0,0,0,4,6,0,5,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,21,병풍사입구,0,2,0,2,4,2,2,3,0,0,3,5,7,0,3,1,2,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,22,만덕터널입구,0,0,0,3,3,0,2,3,2,0,0,4,1,1,4,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,23,개별화물협회,0,0,2,0,0,0,0,0,0,0,2,0,0,4,5,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,24,화신아파트,0,0,1,2,1,0,4,2,1,6,4,4,3,4,4,0,0,0,2,0,0,0,0,0,
46,구포3동 - 구포3동,25,미남교,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,26,한독온천어린이집,0,0,0,2,0,0,0,0,0,7,0,4,0,0,0,4,2,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,27,삼정그린코아포레스트,0,0,0,0,3,0,2,0,0,0,0,4,6,2,3,3,0,3,0,0,0,0,0,0,
46,구포3동 - 구포3동,28,사직고등학교입구,0,0,0,3,1,3,1,0,3,3,0,3,4,2,4,4,0,1,1,0,0,0,0,0,
46,구포3동 - 구포3동,29,사직초등학교앞교차로,0,0,0,3,4,4,0,0,2,2,7,1,2,1,0,3,1,2,0,0,0,0,0,0,
46,구포3동 - 구포3동,30,사직2동주민센터,0,0,1,3,5,6,5,3,4,2,4,5,4,0,3,2,0,0,1,0,0,0,0,0,
46,구포3동 - 구포3동,31,삼익아파트,0,0,0,4,7,0,0,3,0,1,8,4,0,0,0,1,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,32,국민시장,0,0,0,5,6,2,6,0,0,1,3,2,6,2,4,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,33,사직야구장,0,0,0,4,5,4,2,3,2,2,5,1,4,1,2,2,1,2,1,1,0,0,0,0,
46,구포3동 - 구포3동,34,사직운동장,0,0,0,2,2,3,0,0,1,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,
46,구포3동 - 구포3동,35,사직역,0,0,1,1,3,3,2,6,3,0,3,0,3,2,3,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,36,사직1치안센터,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,
46,구포3동 - 구포3동,37,미남역.반도스카이뷰,0,0,0,2,2,0,2,5,0,1,5,2,0,4,2,0,1,0,0,2,0,0,0,0,
46,구포3동 - 구포3동,38,광혜병원,0,1,0,1,3,0,3,3,2,2,4,1,2,3,0,1,0,0,0,2,0,0,0,0,
46,구포3동 - 구포3동,39,동래역,0,0,0,1,1,1,2,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,40,명륜역.동래중학교,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,
46,구포3동 - 구포3동,41,명륜교차로,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,42,부산지방기상청,0,0,1,0,1,2,0,0,0,1,0,0,3,1,0,1,0,0,1,1,0,0,0,0,
46,구포3동 - 구포3동,43,동래전화국,0,0,0,0,0,2,1,0,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,44,메가마트동래점,0,0,1,1,1,1,2,3,0,0,0,3,2,4,3,0,5,0,2,1,0,0,0,0,
46,구포3동 - 구포3동,45,동래역.내성교차로,0,0,1,1,0,1,0,2,0,1,0,0,4,0,4,1,3,4,2,2,0,0,0,0,
46,구포3동 - 구포3동,46,동래럭키아파트,0,0,0,0,1,2,2,2,1,3,3,1,5,5,6,0,3,5,3,1,0,0,0,0,
46,구포3동 - 구포3동,47,미남역.반도스카이뷰,0,0,0,0,0,2,1,1,0,1,2,0,4,4,4,2,0,4,2,0,0,0,0,0,
46,구포3동 - 구포3동,48,반도스카이뷰,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,1,2,3,0,0,0,0,0,0,
46,구포3동 - 구포3동,49,사직1치안센터,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,
46,구포3동 - 구포3동,50,사직역,0,0,0,0,0,0,2,2,1,0,3,0,3,5,4,2,0,0,1,1,0,0,0,0,
46,구포3동 - 구포3동,51,사직운동장,0,0,1,0,0,1,0,0,2,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,
46,구포3동 - 구포3동,52,사직야구장,0,0,0,0,0,0,0,0,0,1,4,1,2,6,4,0,4,5,2,2,0,0,0,0,
