노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
5-1,회동동(기점) - 회동동(기점),0,회동동(기점),0,0,0,0,1,0,0,0,1,1,1,2,3,2,6,1,0,1,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),1,회동본동,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),2,욱성화학,0,0,0,1,0,0,1,0,0,0,2,0,6,8,0,0,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),3,우성,0,0,0,1,0,0,3,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),4,동영테크윈,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),5,주오토닉스,0,0,0,0,0,0,0,1,1,0,0,1,0,10,8,0,6,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),6,반여농산물도매시장,0,0,0,2,1,0,2,1,1,2,1,0,2,6,4,0,4,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),7,반여농산물시장역,0,0,0,2,2,1,1,2,0,0,0,1,0,5,4,1,3,1,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),8,반여농산물시장동문,0,0,0,0,0,0,2,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),9,풍산금속,0,0,1,0,0,2,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),10,반석초등학교,0,0,0,0,0,0,1,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),11,중리,0,2,1,0,1,2,3,5,2,0,3,1,5,0,4,0,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),12,강변자동차매매단지,0,0,0,2,0,3,4,0,2,2,0,0,6,3,0,0,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),13,삼어교입구.선수촌아파트,0,3,2,3,1,4,4,3,3,3,2,2,5,5,4,3,0,1,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),14,장산초등학교,0,2,1,4,1,8,4,3,4,4,0,2,2,7,5,0,5,2,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),15,한화꿈에그린아파트,0,3,0,5,3,0,2,4,0,2,0,2,0,7,5,4,6,2,2,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),16,반여동부산은행,0,0,1,6,4,2,3,5,4,3,3,0,3,4,4,0,4,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),17,원동IC교차로,0,1,0,1,2,1,2,3,2,2,2,3,2,6,9,0,3,1,1,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),18,재송삼익아파트,0,0,2,2,3,3,3,2,3,5,2,4,4,0,5,0,4,2,3,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),19,재반보건지소,0,4,0,3,0,3,0,5,0,5,3,0,1,7,8,1,0,0,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),20,센텀파미르아파트,0,2,4,7,7,5,3,7,4,7,4,6,2,8,11,6,0,0,3,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),21,반여시장입구,0,0,0,9,8,6,4,5,5,7,4,6,4,5,7,7,3,0,4,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),22,반산초등학교,0,3,2,11,10,5,5,4,5,7,5,7,1,3,6,3,0,2,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),23,재송중학교,0,2,3,12,11,6,6,8,7,7,4,2,0,4,11,0,0,3,0,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),24,재송그린아파트,0,3,5,14,15,8,7,7,9,9,6,8,4,7,14,4,0,5,5,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),25,동부지청,0,4,5,19,21,9,8,12,10,8,7,9,6,8,15,8,0,4,7,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),26,재송농협,0,6,8,22,22,10,11,10,9,12,5,8,7,10,15,7,2,5,1,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),27,센텀동부센트레빌,0,7,7,23,22,7,9,12,5,10,8,7,9,9,9,6,0,0,8,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),28,동해선센텀역,0,0,6,22,21,8,10,13,11,13,6,8,3,11,17,10,0,4,3,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),29,센텀고등학교,0,0,7,20,14,9,11,0,12,8,5,9,11,0,21,8,0,0,3,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),30,센텀센시빌,0,8,8,21,17,12,10,13,9,8,4,10,8,12,22,9,1,1,9,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),31,동해선벡스코역,0,0,3,20,15,0,11,0,0,9,0,7,2,11,19,10,3,0,8,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),32,센텀시티역.벡스코,0,6,4,9,6,6,9,14,10,9,9,9,9,12,11,12,3,2,5,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),33,신세계센텀시티,0,0,0,6,5,7,10,12,8,11,8,12,7,16,11,18,4,3,3,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),34,수영현대아파트.민락역,0,5,3,8,0,6,11,13,3,8,7,10,10,18,10,11,0,0,2,0,0,0,0,0,
5-1,회동동(기점) - 회동동(기점),35,수영교차로.수영역,0,4,4,4,5,7,9,10,8,9,10,9,7,15,10,12,0,2,3,5,0,0,0,0,
